ID,Source,Tag_Code,Tag_Name,Title,Url
47,Lobsters,objectivec,Objective-C programming,The C Object System,http://ldeniau.web.cern.ch/ldeniau/html/cos-dls09-draft.pdf
48,Lobsters,objectivec,Objective-C programming,"LLVM JIT, Objective-C and Swift on macOS: knowledge dump",https://stanislaw.github.io/2018/09/03/llvm-jit-objc-and-swift-knowledge-dump.html
49,Lobsters,objectivec,Objective-C programming,iTerm2 has a new drawing engine that uses Metal 2,https://gitlab.com/gnachman/iterm2/wikis/Metal-Renderer
50,Lobsters,objectivec,Objective-C programming,macOS VPN architecture from System Preferences down to nesessionmanager,https://blog.timac.org/2018/0717-macos-vpn-architecture/
51,Lobsters,objectivec,Objective-C programming,Macros in C / Objective-C,https://yurylapitsky.com/metamacros
52,Lobsters,objectivec,Objective-C programming,"These 299 macOS apps are so buggy, Apple had to fix them in AppKit",https://worthdoingbadly.com/appkitcompat/
53,Lobsters,objectivec,Objective-C programming,Mach-O exploration. Tools - nm,https://yurylapitsky.com/exploring_mac-o_binaries_nm
54,Lobsters,objectivec,Objective-C programming,Bringing Objective-C to the Amiga,https://heap.zone/blog/?76
55,Lobsters,objectivec,Objective-C programming,Introduction to Objective-C in MorphOS 3.10,http://morphos-team.net/guide/objective-c
56,Lobsters,objectivec,Objective-C programming,iPhone X home button,http://blog.zats.io/2017/12/27/iPhone-X-home-button/
57,Lobsters,objectivec,Objective-C programming,Why many developers still prefer Objective-C to Swift,https://www.hackingwithswift.com/articles/27/why-many-developers-still-prefer-objective-c-to-swift
58,Lobsters,objectivec,Objective-C programming,Objective-C Implementation and Performance Details for C and C++ Programmers,https://swolchok.github.io/objcperf/
59,Lobsters,objectivec,Objective-C programming,Tag Suggestion: C++,/s/emf0a5/tag_suggestion_c
